Report area: top=TOP; level=10000; athr=0;
  router_1/input_block/generate_input_ports_1__input_port/generate_virtual_channels_1__input_buffer/circular_buffer      :    T=(   1255.73,   3.607%),    C=(    258.23,   0.742%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_2__input_port                                                                :    T=(   2782.79,   7.993%),    C=(    678.62,   1.949%),    R=(   2104.17,   6.044%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_2__input_port/chiplet_rc_unit                                                :    T=(      7.66,   0.022%),    C=(      7.66,   0.022%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_2__input_port/generate_virtual_channels_0__input_buffer                      :    T=(   1363.94,   3.918%),    C=(    311.86,   0.896%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_2__input_port/generate_virtual_channels_0__input_buffer/circular_buffer      :    T=(   1259.88,   3.619%),    C=(    262.38,   0.754%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_2__input_port/generate_virtual_channels_1__input_buffer                      :    T=(   1362.03,   3.912%),    C=(    309.94,   0.890%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_2__input_port/generate_virtual_channels_1__input_buffer/circular_buffer      :    T=(   1257.65,   3.612%),    C=(    260.15,   0.747%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_3__input_port                                                                :    T=(   2775.76,   7.973%),    C=(    671.60,   1.929%),    R=(   2104.17,   6.044%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_3__input_port/chiplet_rc_unit                                                :    T=(      7.66,   0.022%),    C=(      7.66,   0.022%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_3__input_port/generate_virtual_channels_0__input_buffer                      :    T=(   1359.47,   3.905%),    C=(    307.39,   0.883%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_3__input_port/generate_virtual_channels_0__input_buffer/circular_buffer      :    T=(   1256.69,   3.610%),    C=(    259.19,   0.745%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_3__input_port/generate_virtual_channels_1__input_buffer                      :    T=(   1359.15,   3.904%),    C=(    307.07,   0.882%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_3__input_port/generate_virtual_channels_1__input_buffer/circular_buffer      :    T=(   1258.29,   3.614%),    C=(    260.79,   0.749%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_4__input_port                                                                :    T=(   2773.53,   7.967%),    C=(    669.36,   1.923%),    R=(   2104.17,   6.044%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_4__input_port/chiplet_rc_unit                                                :    T=(      7.66,   0.022%),    C=(      7.66,   0.022%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_4__input_port/generate_virtual_channels_0__input_buffer                      :    T=(   1357.24,   3.899%),    C=(    305.16,   0.877%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_4__input_port/generate_virtual_channels_0__input_buffer/circular_buffer      :    T=(   1257.33,   3.612%),    C=(    259.83,   0.746%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_4__input_port/generate_virtual_channels_1__input_buffer                      :    T=(   1357.24,   3.899%),    C=(    305.16,   0.877%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_4__input_port/generate_virtual_channels_1__input_buffer/circular_buffer      :    T=(   1256.37,   3.609%),    C=(    258.87,   0.744%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator                                                                                              :    T=(   1324.36,   3.804%),    C=(   1203.06,   3.456%),    R=(    121.30,   0.348%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator                                                              :    T=(    969.73,   2.785%),    C=(    848.43,   2.437%),    R=(    121.30,   0.348%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_0__round_robin_arbiter   :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_1__round_robin_arbiter   :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_2__round_robin_arbiter   :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_3__round_robin_arbiter   :    T=(     13.73,   0.039%),    C=(      7.66,   0.022%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_4__round_robin_arbiter   :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_0__round_robin_arbiter  :    T=(    154.81,   0.445%),    C=(    136.62,   0.392%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_1__round_robin_arbiter  :    T=(    152.26,   0.437%),    C=(    134.06,   0.385%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_2__round_robin_arbiter  :    T=(    152.90,   0.439%),    C=(    134.70,   0.387%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_3__round_robin_arbiter  :    T=(    151.62,   0.436%),    C=(    133.43,   0.383%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_1/switch_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_4__round_robin_arbiter  :    T=(    153.85,   0.442%),    C=(    135.66,   0.390%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator                                                                                                  :    T=(   1373.52,   3.945%),    C=(   1194.77,   3.432%),    R=(    178.75,   0.513%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator                                                                  :    T=(    956.00,   2.746%),    C=(    834.71,   2.398%),    R=(    121.30,   0.348%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_0__round_robin_arbiter       :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_1__round_robin_arbiter       :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_2__round_robin_arbiter       :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_3__round_robin_arbiter       :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_4__round_robin_arbiter       :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_0__round_robin_arbiter      :    T=(    151.94,   0.436%),    C=(    133.74,   0.384%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_1__round_robin_arbiter      :    T=(    151.94,   0.436%),    C=(    133.74,   0.384%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_2__round_robin_arbiter      :    T=(    151.94,   0.436%),    C=(    133.74,   0.384%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_3__round_robin_arbiter      :    T=(    151.94,   0.436%),    C=(    133.74,   0.384%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_1/vc_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_4__round_robin_arbiter      :    T=(    151.94,   0.436%),    C=(    133.74,   0.384%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  south_inport_u0                                                                                                        :    T=(     54.90,   0.158%),    C=(     54.90,   0.158%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  south_inport_u1                                                                                                        :    T=(     52.67,   0.151%),    C=(     52.67,   0.151%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  south_outport_u0                                                                                                       :    T=(     29.05,   0.083%),    C=(     22.98,   0.066%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  south_outport_u1                                                                                                       :    T=(     29.05,   0.083%),    C=(     23.30,   0.067%),    R=(      5.75,   0.017%),    B=(      0.00,   0.000%),    
  west_inport_u0                                                                                                         :    T=(     54.90,   0.158%),    C=(     54.90,   0.158%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  west_inport_u1                                                                                                         :    T=(     54.90,   0.158%),    C=(     54.90,   0.158%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  west_outport_u0                                                                                                        :    T=(     29.37,   0.084%),    C=(     23.30,   0.067%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  west_outport_u1                                                                                                        :    T=(     30.32,   0.087%),    C=(     24.58,   0.071%),    R=(      5.75,   0.017%),    B=(      0.00,   0.000%),    
